qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
8880,1058,844,6,7,2021,8,70,red_bull_ring,64646.0
8881,1058,852,213,8,2021,8,70,red_bull_ring,64631.0
8878,1058,815,9,5,2021,8,70,red_bull_ring,64197.0
8870,1059,8,51,17,2021,7,34,ricard,0.0
8869,1059,849,3,16,2021,7,34,ricard,0.0
8868,1059,854,210,15,2021,7,34,ricard,0.0
8867,1059,847,3,14,2021,7,34,ricard,92065.0
8866,1059,841,51,13,2021,7,34,ricard,91813.0
8865,1059,20,117,12,2021,7,34,ricard,91767.0
8864,1059,839,214,11,2021,7,34,ricard,91736.0
8863,1059,817,1,10,2021,7,34,ricard,91615.0
8862,1059,4,214,9,2021,7,34,ricard,91549.0
8860,1059,844,6,7,2021,7,34,ricard,91567.0
8859,1059,842,213,6,2021,7,34,ricard,91353.0
8858,1059,832,6,5,2021,7,34,ricard,91146.0
8871,1059,853,210,18,2021,7,34,ricard,0.0
8856,1059,822,131,3,2021,7,34,ricard,90735.0
8855,1059,1,131,2,2021,7,34,ricard,90788.0
8854,1059,830,9,1,2021,7,34,ricard,91080.0
8872,1059,840,117,19,2021,7,34,ricard,0.0
8873,1059,852,213,20,2021,7,34,ricard,0.0
8861,1059,846,1,8,2021,7,34,ricard,91542.0
8857,1059,815,9,4,2021,7,34,ricard,90971.0
8894,1060,830,9,1,2021,9,70,red_bull_ring,63927.0
8903,1060,840,117,10,2021,9,70,red_bull_ring,64547.0
8896,1060,815,9,3,2021,9,70,red_bull_ring,64483.00000000001
8897,1060,1,131,4,2021,9,70,red_bull_ring,64257.99999999999
8898,1060,822,131,5,2021,9,70,red_bull_ring,64376.00000000001
8913,1060,853,210,20,2021,9,70,red_bull_ring,0.0
8899,1060,842,213,6,2021,9,70,red_bull_ring,64412.00000000001
8900,1060,852,213,7,2021,9,70,red_bull_ring,64518.0
8901,1060,20,117,8,2021,9,70,red_bull_ring,64492.99999999999
8902,1060,847,3,9,2021,9,70,red_bull_ring,64553.0
8912,1060,854,210,19,2021,9,70,red_bull_ring,0.0
8904,1060,832,6,11,2021,9,70,red_bull_ring,64559.0
8905,1060,844,6,12,2021,9,70,red_bull_ring,64599.99999999999
8906,1060,817,1,13,2021,9,70,red_bull_ring,64718.99999999999
8907,1060,4,214,14,2021,9,70,red_bull_ring,64855.99999999999
8908,1060,841,51,15,2021,9,70,red_bull_ring,65083.0
8909,1060,8,51,16,2021,9,70,red_bull_ring,0.0
8910,1060,839,214,17,2021,9,70,red_bull_ring,0.0
8911,1060,849,3,18,2021,9,70,red_bull_ring,0.0
8895,1060,846,1,2,2021,9,70,red_bull_ring,64415.00000000001
8915,1061,830,9,2,2021,10,9,silverstone,86315.0
8914,1061,1,131,1,2021,10,9,silverstone,86023.0
8933,1061,853,210,20,2021,10,9,silverstone,0.0
8930,1061,8,51,17,2021,10,9,silverstone,0.0
8929,1061,852,213,16,2021,10,9,silverstone,0.0
8928,1061,840,117,15,2021,10,9,silverstone,87665.0
8927,1061,841,51,14,2021,10,9,silverstone,87617.0
8926,1061,839,214,13,2021,10,9,silverstone,87340.0
8925,1061,842,213,12,2021,10,9,silverstone,87273.0
