qualifyid,raceid,driverid,constructorid,position,year,round,circuitid,circuitref,car_condition,driver_condition,previous_year_position,mean_lap_time,driver_time_better_mean,car_time_better_mean,q1
8766.0,1053,847.0,3.0,15.0,2021.0,2.0,1.0,albert_park,0.0,0.0,20.0,71794.65,4031.350000000006,3944.850000000006,75826.0
8770.0,1053,8.0,51.0,17.0,2021.0,2.0,1.0,albert_park,0.0,0.0,20.0,71794.65,4179.350000000006,4253.350000000006,75974.0
8771.0,1053,841.0,51.0,18.0,2021.0,2.0,1.0,albert_park,0.0,0.0,20.0,71794.65,4327.350000000006,4253.350000000006,76122.0
8772.0,1053,854.0,210.0,19.0,2021.0,2.0,1.0,albert_park,0.0,0.0,20.0,71794.65,4484.350000000006,4743.350000000006,76279.0
8773.0,1053,853.0,210.0,20.0,2021.0,2.0,1.0,albert_park,0.0,0.0,20.0,71794.65,5002.350000000006,4743.350000000006,76797.0
8775.0,1054,822.0,131.0,1.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-858.1999999999971,-790.6999999999971,78722.0
8776.0,1054,1.0,131.0,3.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-723.1999999999971,-790.6999999999971,78857.0
8781.0,1054,846.0,1.0,2.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-786.1999999999971,-263.6999999999971,78794.0
8790.0,1054,817.0,1.0,16.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,258.8000000000029,-263.6999999999971,79839.0
8780.0,1054,839.0,214.0,4.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-488.1999999999971,-170.1999999999971,79092.0
8787.0,1054,4.0,214.0,13.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,147.8000000000029,-170.1999999999971,79728.0
8779.0,1054,832.0,6.0,5.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-271.1999999999971,-239.1999999999971,79309.0
8782.0,1054,844.0,6.0,7.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-207.1999999999971,-239.1999999999971,79373.0
8778.0,1054,815.0,9.0,6.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-243.1999999999971,-169.1999999999971,79337.0
8777.0,1054,830.0,9.0,11.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-95.19999999999709,-169.1999999999971,79485.0
8784.0,1054,20.0,117.0,8.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-177.1999999999971,77.80000000000291,79403.0
8791.0,1054,840.0,117.0,17.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,332.8000000000029,77.80000000000291,79913.0
8786.0,1054,841.0,51.0,9.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-170.1999999999971,-1.1999999999970896,79410.0
8789.0,1054,8.0,51.0,14.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,167.8000000000029,-1.1999999999970896,79748.0
8783.0,1054,842.0,213.0,10.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,-116.19999999999709,-6.19999999999709,79464.0
8788.0,1054,852.0,213.0,12.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,103.80000000000291,-6.19999999999709,79684.0
8785.0,1054,847.0,3.0,15.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,216.8000000000029,460.8000000000029,79797.0
8792.0,1054,849.0,3.0,18.0,2021.0,3.0,22.0,suzuka,0.0,0.0,20.0,79580.2,704.8000000000029,460.8000000000029,80285.0
